id	filename	md5	size	state
3b684369-ea5c-43e4-8a58-0d550b2ca1e5	f7efd016-c382-4eef-9be3-c3e8b3a5386f.rna_seq.augmented_star_gene_counts.tsv	4c3af82e470ecdcc059db136f78786ba	4234673	released
971db7b3-354f-49ab-810c-dab3f78d2d7e	4f521ce8-4aac-4ea5-abbe-732ff9ac5409.rna_seq.augmented_star_gene_counts.tsv	cda65ba35b890dac85ecb2deebf1b7b7	4219035	released
170aa982-33f1-41d0-b0f0-2585d6e8f906	e0b0b87d-1125-4834-8133-5d719f1fd255.rna_seq.augmented_star_gene_counts.tsv	bcd4f88221a8df5f0f6d864e5197cdb1	4245588	released
768b55e7-3798-450f-9239-ebb33bc1e369	ac07e4e9-fa65-49f2-9f83-f13cc8a169d3.rna_seq.augmented_star_gene_counts.tsv	261b40d23e43b86d7aa65715fbe50bc7	4239037	released
8b1ff403-c597-4c88-8e32-1e19c8c7c6ec	b556b718-38cf-498d-94c7-4e240fe57d48.rna_seq.augmented_star_gene_counts.tsv	a38b90ddef2b1598eb35fe0db7ac769c	4230199	released
293079bc-8ce1-4e83-98a3-34e147aaecef	37e6146e-6fec-4160-822c-404a517610a8.rna_seq.augmented_star_gene_counts.tsv	b5b416f259d9e82e1770a8881a225a0b	4238926	released
67694d6e-4c3c-4041-b97a-862aaaba8c89	25d48b78-8622-42af-b33f-4034a42f30cb.rna_seq.augmented_star_gene_counts.tsv	4a84954577b2e39b96394e46572ee5bd	4249262	released
d720c204-3ccb-4551-ab28-188712a97667	97a6e3bc-f272-4d88-a1fe-ef3541cdf296.rna_seq.augmented_star_gene_counts.tsv	33be4cf6a06d98df74d3790b789dd646	4240302	released
c53c476f-3cba-4a0c-adec-52943b368d70	edebd870-f100-41bb-946f-2edd4babbc80.rna_seq.augmented_star_gene_counts.tsv	71abb058ac698fbc0869ce765ec295e0	4231245	released
0675a938-3af9-4ac6-9fb6-9ff270dc6a65	06d5607b-45d7-4247-8d42-709d9d292530.rna_seq.augmented_star_gene_counts.tsv	d5d94b5509d65f4b2d28096a5488398f	4223427	released
2673447a-63f1-4221-87d7-c959a6d495c8	0056507f-a296-4148-bc9f-a831249c7973.rna_seq.augmented_star_gene_counts.tsv	5c6243d043e3977a9f0eeb997fa643c4	4239749	released
2d9f84cc-795e-4aef-890f-c2fc090e96e6	9604472c-4956-4170-8ba7-419f3e8d7418.rna_seq.augmented_star_gene_counts.tsv	438da2dfc66a8b624d5f9e919794f9ee	4245488	released
5598235e-d2d1-46b9-9ef7-b1cab62fb633	20a06f04-b457-408f-8c3c-f0032badf064.rna_seq.augmented_star_gene_counts.tsv	a2814376ad6b3b5d116803bd3300af6d	4216954	released
68badaa1-8052-44e2-a55e-67b657c87af2	1c25bdab-9259-4b1f-b4d5-20b496d36a1a.rna_seq.augmented_star_gene_counts.tsv	48cab339a483aa00b2051fade7a6019d	4233229	released
2dc18822-81e0-4200-9cde-94007b64bac6	ac295603-d08a-43f7-a78b-610be32aa49f.rna_seq.augmented_star_gene_counts.tsv	44cbbfe47c1b237e98ea2d70056cf8cf	4205352	released
